TA2023_V1_,TA2023_V_1,TA2023_V_2,LAND_AREA_,AREA_SQ_KM,Shape_Leng,xcoord,ycoord,latitude,longitude
1,Far North District,Far North District,6686.60961982999,6698.95744022999,2167299.58410704,1651287.18132511,6105072.83021849,-35.196,s
2,Whangarei District,Whangarei District,2711.44026131,2711.44026131,926407.182650623,1713183.33356985,6046832.35622765,-35.716,174.251
3,Kaipara District,Kaipara District,3109.08917093,3109.08917093,934311.114788889,1692283.31317493,6016389.8628608,-35.993,174.024
11,Thames-Coromandel District,Thames-Coromandel District,2207.59007845,2207.59007845,833744.02002164,1835328.47593555,5909049.59081254,-36.935,175.642
12,Hauraki District,Hauraki District,1270.11704997,1270.11704997,311258.298939766,1831036.12873046,5865185.84615212,-37.331,175.608
13,Waikato District,Waikato District,4404.07187178001,4451.10614838001,680576.289993518,1783185.64816521,5843485.55944247,-37.537,175.073
15,Matamata-Piako District,Matamata-Piako District,1755.347896,1755.347896,244694.952590334,1834910.3969316,5827588.20318599,-37.669,175.663
16,Hamilton City,Hamilton City,110.37310035,110.9366994,70459.3949363961,1799722.95409524,5816988.58231185,-37.773,175.268
17,Waipa District,Waipa District,1470.08273514,1470.08273514,248008.823551926,1810758.83076234,5795393.85709578,-37.965,175.399
18,Ōtorohanga District,Otorohanga District,1999.18795538,1999.18795538,456875.616022717,1800622.17913812,5769594.74170941,-38.199,175.291
19,South Waikato District,South Waikato District,1818.87595954,1818.87595954,240508.341848528,1851274.53798718,5771814.03450654,-38.167,175.868
20,Waitomo District,Waitomo District,3534.83941258,3534.83941258,419681.306328519,1775225.63242497,5741734.38201695,-38.455,175.008
21,Taupo District,Taupo District,6333.00037447999,6963.85634505999,492224.068080214,1864575.85297767,5699503.91555749,-38.814,176.047
22,Western Bay of Plenty District,Western Bay of Plenty District,1944.41464252,1944.41464252,571442.935788244,1879335.70901216,5812737.39237711,-37.79,176.172
23,Tauranga City,Tauranga City,141.91432144,141.91432144,178593.735121111,1881241.40776603,5821313.98210661,-37.712,176.19
24,Rotorua District,Rotorua District,2409.31132624,2619.13170802,279037.482266464,1891206.7051658,5764231.79943481,-38.223,176.326
25,Whakatane District,Whakatane District,4449.70768281,4449.70768281,442285.262559796,1937165.4515332,5752478.58888283,-38.312,176.856
26,Kawerau District,Kawerau District,23.56207481,23.56207481,25998.283187937,1923691.93884713,5777820.13312764,-38.089,176.691
27,Ōpōtiki District,Opotiki District,3089.70243922,3089.70243922,482103.532564908,2002101.97162915,5782813.24045316,-38.013,177.58
28,Gisborne District,Gisborne District,8385.06498182,8385.06498182,695703.917851146,2030671.16053765,5751619.39769412,-38.28,177.923
29,Wairoa District,Wairoa District,4078.4497644,4130.24706579,462547.678682776,1967330.87649836,5686005.64591383,-38.898,177.235
30,Hastings District,Hastings District,5226.70811357,5226.70811357,555135.109712619,1912241.48958915,5630705.59620748,-39.417,176.627
31,Napier City,Napier City,105.05105003,105.05105003,81783.6388630031,1932728.19274448,5620805.77622561,-39.498,176.869
32,Central Hawke's Bay District,Central Hawke's Bay District,3332.90512614,3332.90512614,345689.073456209,1900404.53372832,5563668.0550505,-40.024,176.52
33,New Plymouth District,New Plymouth District,2205.59473138,2205.59473138,376939.767149986,1719037.25832622,5676732.99414391,-39.05,174.376
34,Stratford District,Stratford District,2163.42926981,2163.42926981,410333.357982042,1740042.34000318,5657729.56560246,-39.218,174.622
35,South Taranaki District,South Taranaki District,3575.07858965,3575.07858965,374648.557179214,1723072.03481505,5622894.15721018,-39.535,174.432
36,Ruapehu District,Ruapehu District,6734.44472049,6734.44472049,645979.036803055,1801923.57883449,5668698.95250435,-39.107,175.335
37,Whanganui District,Whanganui District,2373.27333655,2373.27333655,426906.094100755,1782946.96754188,5602518.68634956,-39.708,175.134
38,Rangitikei District,Rangitikei District,4483.88244909,4483.88244909,642161.145374491,1838763.96246563,5603249.66048644,-39.687,175.784
39,Manawatu District,Manawatu District,2566.58646644,2566.58646644,334958.955169711,1829953.2382739,5556175.85200835,-40.113,175.698
40,Palmerston North City,Palmerston North City,394.74307612,394.74307612,108520.820079868,1824260.91930936,5525995.38617584,-40.386,175.642
41,Tararua District,Tararua District,4364.62360236,4364.62360236,421629.398935694,1859748.34303974,5518481.52161973,-40.444,176.063
42,Horowhenua District,Horowhenua District,1063.9061485,1063.9061485,161936.328064437,1799336.96054464,5505203.57547395,-40.58,175.355
43,Kapiti Coast District,Kapiti Coast District,731.52007806,731.52007806,185883.984890298,1782923.36588872,5474305.99128864,-40.862,175.17
44,Porirua City,Porirua City,174.80065175,174.80065175,115365.161369196,1759898.67321119,5449221.99546066,-41.093,174.904
45,Upper Hutt City,Upper Hutt City,539.87610302,539.87610302,128079.816383094,1777643.51971547,5450330.45723254,-41.079,175.115
46,Lower Hutt City,Lower Hutt City,376.40357212,376.40357212,130543.218671837,1763878.71007695,5428402.69733795,-41.279,174.957
47,Wellington City,Wellington City,289.91122368,289.91122368,132346.317869114,1746607.0946606,5431348.37429486,-41.256,174.75
48,Masterton District,Masterton District,2300.20815815,2300.20815815,332418.450086286,1842917.6681496,5468667.4633248,-40.897,175.884
49,Carterton District,Carterton District,1179.90534353,1179.90534353,322013.234652917,1820118.96779405,5450729.54340417,-41.065,175.62
50,South Wairarapa District,South Wairarapa District,2387.75589504,2457.84388591,320014.259569188,1800294.64797355,5424824.33247435,-41.303,175.392
51,Tasman District,Tasman District,9615.57606192,9649.08621614,1065443.77800116,1570729.10800646,5411572.27922786,-41.447,172.65
52,Nelson City,Nelson City,422.19384958,422.19384958,174268.810283537,1632925.0380994,5433824.73098712,-41.246,173.393
53,Marlborough District,Marlborough District,10457.88802616,10470.67970726,2308649.05738458,1644330.10446431,5384039.30506781,-41.694,173.533
54,Kaikoura District,Kaikoura District,2046.8504917,2046.8504917,314186.777582702,1653189.17517692,5328030.11608419,-42.198,173.644
55,Buller District,Buller District,7943.35229996,7943.35229996,778705.19168203,1519685.6612869,5375741.80535415,-41.766,172.034
56,Grey District,Grey District,3474.31130279,3515.08339129,354454.80602012,1483384.00787806,5294637.19367178,-42.492,171.581
57,Westland District,Westland District,11827.85479028,11862.72862832,1089550.87755647,1351502.95695571,5173223.00381696,-43.553,169.924
58,Hurunui District,Hurunui District,8640.95674630999,8654.49447744999,579119.848388885,1577983.99680272,5272837.7086161,-42.697,172.731
59,Waimakariri District,Waimakariri District,2217.12771732,2217.12771732,266336.129966064,1544092.63009229,5211334.2903923,-43.249,172.311
60,Christchurch City,Christchurch City,1415.14739939,1484.70716474,547400.686949571,1580564.56860404,5163551.78034102,-43.681,172.759
62,Selwyn District,Selwyn District,6381.14787314001,6552.88648688001,515525.03864818,1508869.26333693,5204318.28211731,-43.308,171.876
63,Ashburton District,Ashburton District,6181.45093711999,6189.51487116999,419614.521033337,1470879.6976578,5165792.4450232,-43.65,171.399
64,Timaru District,Timaru District,2732.40642236,2732.40642236,448696.101102201,1446536.15587982,5123247.97127373,-44.028,171.085
65,Mackenzie District,Mackenzie District,7138.59055349,7442.37225591,539496.979003869,1395214.76503612,5128880.98184568,-43.965,170.447
66,Waimate District,Waimate District,3554.44645023,3583.06173731,287842.326302189,1422167.47003021,5058007.62510417,-44.609,170.759
67,Chatham Islands Territory,Chatham Islands Territory,793.8760022,808.26655434,455844.523702731,2440734.55774143,5081568.94097096,-43.936,-176.527
68,Waitaki District,Waitaki District,7107.94331625,7216.5259047,738952.689388735,1385658.77737963,5033895.36568571,-44.816,170.289
69,Central Otago District,Central Otago District,9933.26981046,9968.29777302,633785.343113338,1332267.5693046,4994279.97923559,-45.154,169.594
70,Queenstown-Lakes District,Queenstown-Lakes District,8719.66105633999,9375.19350768,603503.53977593,1271588.99932466,5044907.52810568,-44.674,168.857
71,Dunedin City,Dunedin City,3286.14193696,3286.14193696,576627.881264772,1385902.3737124,4938799.36079544,-45.671,170.251
72,Clutha District,Clutha District,6334.53557776,6362.3315137,610879.502680421,1333022.30059447,4890551.03582191,-46.086,169.547
73,Southland District,Southland District,29575.18889951,30226.49027761,4022672.93637347,1201273.43437586,4926396.04225006,-45.701,167.878
74,Gore District,Gore District,1253.84835228,1253.84835228,234517.582276075,1287778.15440908,4890052.51336927,-46.072,168.962
75,Invercargill City,Invercargill City,389.9176661,389.9176661,268977.533458352,1243579.8837821,4843379.34508178,-46.469,168.357
76,Auckland,Auckland,4941.16424810002,4942.23052023002,2894126.47902044,1754577.21590644,5936226.6223203,-36.707,174.731
999,Area Outside Territorial Authority,Area Outside Territorial Authority,30.06080934,30.06080934,97179.4032683516,1842269.33994361,5907778.42353358,-36.945,175.721
